,datetime,city,state,country,shape,duration (seconds),duration (hours/min),comments,date posted,latitude,longitude
4120,10/2/12 13:00,Klang (Malaysia),,,light,900.0,15 minutes,Mysterious bright spot in pictures of solar hola from different persons&#44 cameras&#44 locations and nearly same timing,10/30/12,3.0430610000000002,101.440657
4121,10/2/12 13:20,Taylorsville,UT,US,circle,600.0,10 minutes,Silver orb moving over the Salt Lake valley from north to south and then from south to east.,10/30/12,40.667777799999996,-111.93805559999998
4122,10/2/12 15:00,Mcgregor,MN,US,formation,0.0,pictures,I have 6 UFOs in one picture with the Chem-trail plane i was photographing  below them.,10/30/12,46.6066667,-93.31361109999999
4123,10/2/12 17:00,Brandon,VT,US,other,480.0,5-8 minutes,What we saw was what to be a plane but it looked like one from way back just like an old bomber.  It flew over our apt tree level.,10/30/12,43.798055600000005,-73.0880556
4124,10/2/12 19:30,Huntington Beach,CA,US,oval,60.0,1 minute,Ufo flying circles then speeding off with three smaller objects behind it&#44 it was not producing light just reflections from moonlight,10/30/12,33.660277799999996,-117.99833329999998
4125,10/2/12 19:30,Yucca Valley,CA,US,sphere,10.0,10 seconds,Large&#44 bright white orb due east of Yucca Valley,10/30/12,34.1141667,-116.4313889
4126,10/2/12 19:50,Maple Valley,WA,US,chevron,120.0,2 minutes,Two chevron-shaped objects flying in formation spotted over Maple Valley&#44 WA.,10/30/12,47.4066667,-122.0375
4127,10/2/12 20:00,Chula Vista,CA,US,circle,1.0,1 second,I glowing light unlike anything I have ever seen moved across the sky a d behind a cloud faster than anything I have ever seen. Not a b,11/4/12,32.64,-117.08333329999999
4128,10/2/12 20:29,Montana City,MT,US,light,10.0,10 seconds,Bright red light leading a helicopter at night.,10/30/12,46.5377778,-111.93194440000002
4129,10/2/12 21:00,Conover,NC,US,circle,900.0,15 minutes,Sighted 3 red and white crafts moving back and forth quickly in the sky without sound in Hickory&#44 and friends in Salisbury saw too.,10/30/12,35.70638889999999,-81.21888890000001
4130,10/2/12 21:15,Clinton,IA,US,circle,600.0,10 minutes,Non flashing orange lights going westward across Clinton Iowa making no sound,10/30/12,41.84444439999999,-90.18861109999999
4131,10/2/12 21:30,Anchorage,AK,US,formation,420.0,7 minutes,25 to 35 light orange orbs in sky...not flares,10/30/12,61.2180556,-149.90027780000003
4132,10/2/12 21:55,Knoxville,TN,US,light,8.0,5-8 seconds,Like a shooting star&#44 but it was overcast Slow to fast and disappeared Knoxville TN,10/30/12,35.960555600000006,-83.9208333
4133,10/2/12 22:00,Eden,ID,US,light,3600.0,>1hour,Red&#44 white&#44 and blue flickering object in the sky&#44 like a cop car.,10/30/12,42.6058333,-114.21
4134,10/2/12 22:51,Shepherdsville,KY,US,fireball,30.0,30 seconds,Large star-like orange/red  fireball seen hovering&#44 un-moving in Shepherdsville Ky until it faded away,10/30/12,37.9883333,-85.7158333
4135,10/2/13 0:08,Marshville,NC,US,other,10.0,10 seconds,Strange glowing line moving across the sky.,10/3/13,34.9883333,-80.3672222
4136,10/2/13 6:45,Upper Marlboro,MD,US,circle,2.0,2 seconds,I was painting my house and was on a step ladder about 6 ft high and saw an orange light that looked like it was rotating vertically.,10/23/13,38.8158333,-76.75
4137,10/2/13 11:45,San Francisco,CA,US,sphere,900.0,10-15 minutes,Whitish/metallic sphere high in the sky over San Francisco CA.,10/14/13,37.775,-122.41833329999999
4138,10/2/13 13:55,Omaha,NE,US,cylinder,0.0,unknown,Silver&#44 cylindrical object seen over Omaha skies.,10/14/13,41.2586111,-95.9375
4139,10/2/13 14:15,Las Vegas,NV,US,cigar,600.0,10 minutes,High flying object&#44 trails in front and back&#44 elongated&#44 bright shape in the middle.,10/14/13,36.175,-115.1363889
4140,10/2/13 18:00,Janesville,WI,US,cigar,3600.0,60 minutes,Noticed Odd Shape Stationary Bright Light In Sky.,10/3/13,42.6827778,-89.01861109999999
4141,10/2/13 19:15,La Habra,CA,US,circle,10.0,:10,Circled shape object vanishes near La Habra&#44 CA.,10/3/13,33.9319444,-117.9452778
4142,10/2/13 19:50,Meriden,CT,US,disk,15.0,15 seconds,Bright blue disk with two bright red lights&#44 hovering and moving back and forth in the sky until it disappeared.,10/3/13,41.53805560000001,-72.8075
4143,10/2/13 20:00,Middletown,OH,US,fireball,30.0,30 seconds,I listen to Coast to Coast Radio......I have heard you talk many times about the Orange Balls......I saw one tonight.....and watche,10/3/13,39.515,-84.3983333
4144,10/2/13 20:00,Sherwood/North Little Rock,AR,,other,7200.0,2 hours,Crazy UFO sightings.,10/3/13,34.786449,-92.25319300000001
4145,10/2/13 20:05,Martinsburg,WV,US,light,2.0,2 seconds,Very green light appeared and fell straight down.,10/3/13,39.4561111,-77.9641667
4146,10/2/13 20:10,Fairfax Station,VA,US,circle,20.0,20 seconds,Orangish yellow ball falls from sky.,10/3/13,38.8008333,-77.3258333
4147,10/2/13 21:00,Canton,OH,US,fireball,180.0,3 minutes,1 Yellow/Orange Flying Fireball over Canton&#44 OH&#44 USA.,10/3/13,40.798888899999994,-81.37861109999999
4148,10/2/13 21:00,Flinton (Australia),,AU,fireball,0.0,continuing,Very bright  orange unidentified object in the sky&#44 Three sets of eyes seen with torch.,10/3/13,-27.883333,149.566667
4149,10/2/13 21:00,Martin,MI,US,disk,15.0,15 seconds,Saucer shaped disk with lights made no noise and simply vanished after a minute or two.,1/16/14,42.536944399999996,-85.6416667
4150,10/2/13 21:55,Orrington,ME,US,changing,600.0,10 minutes,Lights seen over Orrington.,10/3/13,44.73111110000001,-68.8269444
4151,10/2/13 22:00,Caledonia,NY,US,triangle,5.0,5 seconds,Large triangle craft passed overhead&#44 rotated&#44 turned 90 degrees to the right&#44 and vanished.,10/14/13,42.9730556,-77.8530556
4152,10/2/13 22:00,Philadelphia,PA,US,light,300.0,5 minutes,22:00- black sky&#44 medium cloud cover. I was about to cross the street&#44 but i looked up and noticed a soft white light heading northeast,11/11/13,39.9522222,-75.1641667
4153,10/2/13 22:00,Waretown,NJ,US,rectangle,900.0,15 minutes,Three lights moving very slowly then turned north revealing 2 add&#39l red lights. Hovered for several minutes.,10/3/13,39.791388899999994,-74.19555559999999
4154,10/2/13 22:45,Hagerstown,MD,US,oval,300.0,5 minutes,Orange/gold ovular object seen hovering&#44 then shut off lights the second another eye witness came within view.,10/3/13,39.6416667,-77.72027779999999
4155,10/22/68 20:00,Lakeland,FL,US,disk,900.0,15 minutes,We saw a flying Saucer over Lakeland Florida&#44 and also it was reported the next day in the Lakeland Ledger newspaper,1/5/11,28.039166700000003,-81.95
4156,10/22/74 20:00,Oneonta,AL,US,circle,10.0,10 sec,Big&#44  round &#44 with lights&#44  but no sound&#44  moving slow&#44,10/30/06,33.9480556,-86.47277779999999
4157,10/22/85 20:00,New York City,NY,US,sphere,120.0,2min,I was very young at the time but i remember the account clearly&#44 so dose my brother. It happend one night that my parents had a getogth,7/16/03,40.7141667,-74.0063889
4158,10/22/86 22:00,Selma,NC,US,light,420.0,07 minutes,Six aircraft moving at high rates of speed in an acrobatic formation then dissapearing in a star burst,1/28/99,35.5363889,-78.2847222
4159,10/22/87 20:00,Portsmouth,NH,US,cigar,1200.0,20 minutes,Large silent black cigar shaped craft sighted over Pease AFB,5/2/14,43.0716667,-70.7630556
4160,10/22/88 20:30,New York City (Queens),NY,US,sphere,60.0,1 minute,Sphere coming out from the Moon,10/31/03,40.7141667,-74.0063889
4161,10/22/88 22:33,Interstate 10,LA,,oval,360.0,6 minutes,At night I saw a large pulsating light at low altitiude&#44 at first stationary&#44 and then flying away at enormous speed.,5/11/05,34.037243,-118.309087
4162,10/22/88 23:16,Green River,UT,US,cone,660.0,11 minutes,Top shaped object /light sitting in the night sky right in front of me,2/14/08,38.9952778,-110.1611111
4163,32804,Fayetteville,NC,US,fireball,600.0,10minutes,these objects were seen the morning of hurricane hugo they were flying in a formation side by side when i first noticed them i thought,7/26/02,35.0525,-78.87861109999999
4164,10/22/92 21:30,Oak Creek,CO,US,unknown,900.0,15 minutes,At 9:30 in the evening on a clear night&#44we saw five or six objects over the top of the mountain behind our house.The objects zipped,1/17/04,40.275,-106.95777779999999
4165,10/22/94 22:00,Berkeley,CA,US,light,120.0,2 minutes,Points of light in the night sky in Berkeley followed years later by technological assault in San Jose.,8/5/09,37.8716667,-122.27166670000001
4166,10/22/95 2:30,Bessemer,AL,US,0,900.0,15 min.,Man&#44 wife&#44 2 children&#44  driving down long hill&#44 see bizarre cluster of lights&#44 &quot;like Christmas tree in the sky.&quot;  Multiple witnesses.,11/2/99,33.4016667,-86.9544444
4167,10/22/95 19:35,Auburn,CA,US,0,6.0,6 sec.,Young girl w/ friends witness bizarre &quot;triangle w/ 3 red&#44 dim lights&#44&quot; streak across sky.  Strobed bright light.  Scared&#44 nauseous.,11/2/99,38.896666700000004,-121.07583329999999
4168,10/22/97 15:00,Milford,CA,US,disk,5.0,5 seconds,Silver saucer shaped craft seen clearly over Sierra Nevada mountains for a short time.,11/28/07,40.1713889,-120.3713889
4169,10/22/98 2:40,Silverlake,WA,,light,30.0,30 seconds,Object shaped like a 1/4 moon moving rapidly south&#44 then turned east for a few seconds then back south.  It had a dull &quot;glow&quot; about it&#44,11/1/98,46.295656,-122.78329699999999
4170,10/22/98 3:30,Rupert,ID,US,sphere,120.0,2 minutes,I was on my way to milk cows at my dairy&#44 like any morning. A bright purple sphere was to the north of my house when I walkes out the d,12/12/09,42.6191667,-113.67638889999999
4171,10/22/98 18:30,Cincy (Near&#44 Rural Ohio),OH,,light,900.0,15 min,A few years back in ohio...,4/28/01,39.103118,-84.51201999999999
4172,10/22/98 18:40,Kenton/Bellcenter,OH,,disk,20.0,20 seconds,10/22/98  bellcenter ohio   disk&#44  20 seconds&#44slow moving&#44west/north/west 4-5 mph degree of flight unknown&#33,2/5/03,40.211503,-82.902771
4173,10/22/98 23:40,Newtown Square,PA,US,oval,180.0,3 minutes,Shape was rounded but slightly elongated with slight fin-like sides.  Moving very slowly: not stationary like a star but too slowly to,11/1/98,39.9866667,-75.40138890000001
4174,10/22/99 1:30,Ripley,TN,US,rectangle,1800.0,30 min,Saw large rectangular object apparently cloaking itself in Tn. in 1990,6/4/04,35.7452778,-89.52972220000001
4175,10/22/99 6:10,Klamath Falls,OR,US,sphere,3.0,3 seconds,Object was seen just as it decended over the horizon&#44 behind local 7&#44000 foot mountains&#44 to a heading of approximately 355 degrees&#44 alm,11/2/99,42.225,-121.78055559999999
4176,10/22/99 9:00,Hamilton,OH,US,cigar,120.0,2 minutes,Metallic cylindrical object with rounded ends&#44Daylight sighting,11/2/99,39.39944439999999,-84.56138890000001
4177,10/22/99 12:00,Kansas City/Excelsior Springs&#44,MO,,cylinder,900.0,15 min.,A large white object moving slowly at cloud level that was over an aproach corridor to KCI airport. It slowly entered a large cloud and,6/12/11,0.0,0.0
4178,10/22/99 13:30,Irvine,CA,US,diamond,300.0,5 minutes,Large black diamond shaped object hovering and than disapeared to the north,11/2/99,33.669444399999996,-117.82222220000001
4179,10/22/99 14:10,Daytona Beach,FL,US,changing,180.0,2-3min,METICAL OBJECT IN SKY WHICH KEPT CHANGING SHAPES,11/2/99,29.210555600000003,-81.02305559999999
4180,10/22/99 22:45,Sikeston,MO,US,light,6.0,6 seconds,Fast falling light in the south southeast sky turning from white to green.,11/2/99,36.8766667,-89.5877778
4181,10/22/00 2:30,San Jose,CA,US,other,120.0,2 minutes,A square shaped off kiltered&#44 yellowish orange object&#44 fluttering up and down&#44 hovering approaching from the southeast region of the sk,12/2/00,37.3394444,-121.8938889
4182,10/22/00 4:30,Oshkosh,WI,US,0,900.0,15 minutes,Flashing lights around planet or star.,12/2/00,44.0247222,-88.5425
4183,10/22/00 6:10,Turlock,CA,US,triangle,2.0,2 seconds,Two bright white triangular objects seen which streaked off to the east &#44appeared and dissapeared in 2 seconds.,12/2/00,37.4947222,-120.84555559999998
4184,10/22/00 6:30,Lebanon,PA,US,light,45.0,45 desonds,white light travelling weat to east&#44suddenly changed direction and accelerated out of sight,12/2/00,40.3408333,-76.4116667
4185,10/22/00 10:30,Peru,,,disk,0.0,0,Video and digital photo show a disk type object about 100 feet diameter.,8/28/02,0.0,0.0
4186,10/22/00 19:30,Cooper City,FL,US,other,15.0,10-15 seconds,Small cube shaped object with several blue lights visible.  Object faded out of sight.,2/14/06,26.0569444,-80.2719444
4187,10/22/00 20:50,Bridlington (Uk/England),,GB,triangle,30.0,30seconds,red light comming from south[hull]]clear night flow over bridlington south beech to flambough head as it passed over they was on sound,12/2/00,54.095,-0.208056
4188,10/22/00 22:00,Tulsa,OK,US,triangle,600.0,10 minutes,Five Black Triangles In Formation Directly Overhead,5/24/05,36.1538889,-95.9925
4189,10/22/00 23:00,Puyallup,WA,US,diamond,120.0,2  minutes,Saw a  cluster  of  five  red  lights (oval)  which  emitted  several  smaller  white  lights.,12/20/00,47.1855556,-122.29166670000001
4190,10/22/01 0:35,Verona,WI,US,triangle,7.0,7 seconds,Transparent object of unknown origin&#44 exhibiting previously unknown capabilities&#44 appears overhead.,11/20/01,42.9908333,-89.5330556
4191,10/22/01 2:49,Peterborough (Canada),ON,CA,chevron,3.0,3 sec,5 chevron lights - canada,11/20/01,44.3,-78.333333
4192,10/22/01 7:23,Denver,CO,US,sphere,6.0,6 sec.,Silver ball moving in Denver sky,11/20/01,39.7391667,-104.98416670000002
4193,10/22/01 23:00,Sturgeon Bay,WI,US,light,1800.0,30 mins,strange light,2/22/02,44.834166700000004,-87.3769444
4194,10/22/02 10:04,Houston,TX,US,disk,0.0,0,Big shiny saucers hovering over the astro dome in houston for 3 minutes.,4/27/04,29.763055600000005,-95.3630556
4195,10/22/02 13:00,San Francisco,CA,US,cigar,21600.0,afternoon,Cigar shape&#44sliver color&#44hovering&#44in a group of trees&#44and it had two lights.,4/27/04,37.775,-122.41833329999999
4196,10/22/02 14:00,Mitchell (Australia),,AU,cylinder,10.0,10 sec,Objects unexplained seen in the air over rural Queensland small country town of Mitchell,10/31/08,-26.4849,147.974197
4197,10/22/02 20:15,St. Clairsville,OH,US,disk,900.0,15 minutes,This object had what seemed to be headlights flashing different colors at the center ofwhat appeared to be a disk-shaped object.  On ei,10/28/02,40.080555600000004,-80.9002778
4198,10/22/02 21:00,Cocoa Beach,FL,US,fireball,3600.0,1 hour,Orange glow along the horizon,7/16/03,28.3197222,-80.6077778
4199,10/22/02 22:30,London (Canada),ON,CA,triangle,120.0,1-2 minutes,The object was low to the ground&#44 stationary and had three bright white lights in a triangular formation&#44 with no sound.,5/24/05,42.983333,-81.25
4200,10/22/03 2:45,Las Cruces,NM,US,unknown,0.0,ongoing,...Just a little to weird to be a star.,10/31/03,32.3122222,-106.7777778
4201,10/22/03 6:30,Asker (Norway),,,unknown,30.0,30 seconds,3 lights floating  soundless some hundred meters up in the sky&#44 a dark and starry morning.,10/31/03,59.833335,10.437209
